"11a7 -- Immigration and emigration by age (5-year), sex and area, 1990-2024"

"Area","Sex","Age","Information","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Kihniö","Total","Total","Emigration from Finland",0,0,0,0,3,1,0,1,1,0,1,2,2,3,3,1,4,0,6,0,0,0,0,2,0,1,1,0,0,4,0,0,1,0,0
"Kihniö","Total","Total","Net migration",0,1,0,2,-2,0,1,5,0,2,-1,-2,0,-1,-1,1,-1,4,-2,4,5,0,1,3,3,1,9,5,1,0,3,0,3,4,8
"Kimitoön","Total","Total","Immigration to Finland",24,47,10,19,7,26,9,9,17,39,20,20,22,21,14,19,24,20,24,39,34,39,31,29,37,40,44,56,20,60,22,39,24,69,59
"Kimitoön","Total","Total","Emigration from Finland",5,21,9,22,17,31,18,13,25,11,27,20,18,12,12,12,14,21,7,12,16,20,25,20,18,19,21,26,15,25,11,13,26,18,14
"Kimitoön","Total","Total","Net migration",19,26,1,-3,-10,-5,-9,-4,-8,28,-7,0,4,9,2,7,10,-1,17,27,18,19,6,9,19,21,23,30,5,35,11,26,-2,51,45
"Kinnula","Total","Total","Immigration to Finland",9,11,7,1,3,4,3,3,2,1,1,3,5,6,9,4,5,3,0,5,2,5,4,1,1,0,4,3,5,2,2,0,2,13,6
"Kinnula","Total","Total","Emigration from Finland",5,1,0,0,1,3,0,0,3,2,1,0,4,1,0,2,8,5,0,6,0,0,1,0,0,0,1,2,0,2,4,0,1,3,1
"Kinnula","Total","Total","Net migration",4,10,7,1,2,1,3,3,-1,-1,0,3,1,5,9,2,-3,-2,0,-1,2,5,3,1,1,0,3,1,5,0,-2,0,1,10,5
"Kirkkonummi","Total","Total","Immigration to Finland",90,108,126,93,63,83,87,89,72,103,108,125,138,126,153,178,187,216,173,198,196,208,293,283,232,213,354,248,178,204,259,236,321,540,458
"Kirkkonummi","Total","Total","Emigration from Finland",74,58,35,56,79,85,67,78,86,116,115,108,79,88,82,116,100,103,101,95,130,130,144,131,122,163,167,162,148,153,101,123,145,139,162
"Kirkkonummi","Total","Total","Net migration",16,50,91,37,-16,-2,20,11,-14,-13,-7,17,59,38,71,62,87,113,72,103,66,78,149,152,110,50,187,86,30,51,158,113,176,401,296
"Kitee","Total","Total","Immigration to Finland",21,25,14,15,4,8,19,19,14,29,42,42,32,22,34,45,63,25,65,41,41,52,36,44,57,28,99,78,37,19,41,82,96,206,116
"Kitee","Total","Total","Emigration from Finland",7,2,5,4,3,13,1,17,11,14,19,20,16,13,7,27,10,6,10,10,18,11,12,12,7,4,15,25,8,7,9,10,13,17,10
"Kitee","Total","Total","Net migration",14,23,9,11,1,-5,18,2,3,15,23,22,16,9,27,18,53,19,55,31,23,41,24,32,50,24,84,53,29,12,32,72,83,189,106
"Kittilä","Total","Total","Immigration to Finland",22,22,60,9,10,14,14,14,7,16,13,18,7,9,16,22,18,35,23,28,31,35,23,19,22,19,23,38,27,32,32,26,26,52,50
"Kittilä","Total","Total","Emigration from Finland",8,4,14,12,15,4,70,10,18,8,20,2,12,9,5,9,7,13,17,8,15,28,11,7,4,8,14,4,14,26,16,7,19,15,12
"Kittilä","Total","Total","Net migration",14,18,46,-3,-5,10,-56,4,-11,8,-7,16,-5,0,11,13,11,22,6,20,16,7,12,12,18,11,9,34,13,6,16,19,7,37,38
"Kiuruvesi","Total","Total","Immigration to Finland",22,40,16,43,15,5,15,9,10,7,15,5,9,15,4,12,10,29,8,20,5,21,12,15,6,19,6,7,10,17,11,11,12,24,21
"Kiuruvesi","Total","Total","Emigration from Finland",2,4,3,1,11,4,4,4,9,6,16,2,10,11,4,5,4,7,11,5,4,6,3,10,0,16,10,8,10,5,6,3,0,3,3
"Kiuruvesi","Total","Total","Net migration",20,36,13,42,4,1,11,5,1,1,-1,3,-1,4,0,7,6,22,-3,15,1,15,9,5,6,3,-4,-1,0,12,5,8,12,21,18
"Kivijärvi","Total","Total","Immigration to Finland",0,0,1,0,0,7,2,2,0,2,2,3,1,2,1,4,3,4,1,4,2,4,2,2,0,0,2,2,1,5,5,6,1,2,4
"Kivijärvi","Total","Total","Emigration from Finland",2,1,0,0,2,0,0,0,2,3,0,2,2,8,0,0,1,1,0,0,3,2,2,0,1,1,0,0,0,2,2,3,1,1,1
"Kivijärvi","Total","Total","Net migration",-2,-1,1,0,-2,7,2,2,-2,-1,2,1,-1,-6,1,4,2,3,1,4,-1,2,0,2,-1,-1,2,2,1,3,3,3,0,1,3
"Kokemäki","Total","Total","Immigration to Finland",6,15,10,8,6,9,3,5,9,4,8,15,6,8,5,28,15,39,20,23,21,21,39,24,10,11,30,18,18,25,31,26,18,18,22
"Kokemäki","Total","Total","Emigration from Finland",7,4,3,3,5,0,1,5,3,3,3,12,4,3,12,4,2,12,16,8,4,5,14,4,4,7,8,9,12,7,2,5,4,11,4
"Kokemäki","Total","Total","Net migration",-1,11,7,5,1,9,2,0,6,1,5,3,2,5,-7,24,13,27,4,15,17,16,25,20,6,4,22,9,6,18,29,21,14,7,18
"Kokkola","Total","Total","Immigration to Finland",64,144,79,107,65,65,91,77,96,109,136,116,76,139,145,116,95,183,239,130,153,182,154,190,159,220,241,227,161,207,167,212,273,416,442
"Kokkola","Total","Total","Emigration from Finland",57,45,62,45,55,60,95,87,81,93,69,88,94,87,71,70,62,64,39,44,53,57,66,80,40,62,102,75,75,72,47,59,76,69,94
"Kokkola","Total","Total","Net migration",7,99,17,62,10,5,-4,-10,15,16,67,28,-18,52,74,46,33,119,200,86,100,125,88,110,119,158,139,152,86,135,120,153,197,347,348
"Kolari","Total","Total","Immigration to Finland",28,22,11,15,8,11,5,9,13,16,33,10,8,10,13,17,15,20,12,19,13,18,22,18,14,19,26,19,8,11,10,23,16,35,18
"Kolari","Total","Total","Emigration from Finland",25,8,8,14,19,4,6,15,10,11,13,7,15,14,13,7,9,10,6,22,4,10,8,5,6,10,23,5,2,8,11,6,12,8,12
"Kolari","Total","Total","Net migration",3,14,3,1,-11,7,-1,-6,3,5,20,3,-7,-4,0,10,6,10,6,-3,9,8,14,13,8,9,3,14,6,3,-1,17,4,27,6
"Konnevesi","Total","Total","Immigration to Finland",0,6,1,1,2,5,1,0,0,0,0,3,2,3,3,4,4,2,8,2,3,4,5,10,6,6,0,6,3,6,5,2,0,25,5
"Konnevesi","Total","Total","Emigration from Finland",1,0,1,0,0,2,4,0,6,0,1,1,2,1,1,2,2,2,1,0,3,7,1,5,0,3,2,1,1,2,0,0,1,0,1
"Konnevesi","Total","Total","Net migration",-1,6,0,1,2,3,-3,0,-6,0,-1,2,0,2,2,2,2,0,7,2,0,-3,4,5,6,3,-2,5,2,4,5,2,-1,25,4
"Kontiolahti","Total","Total","Immigration to Finland",9,74,13,132,8,23,51,38,49,55,32,70,43,36,59,85,44,75,82,74,52,49,34,30,45,25,33,40,22,61,32,16,28,29,22
"Kontiolahti","Total","Total","Emigration from Finland",4,2,5,11,5,7,8,3,9,9,14,10,13,4,20,7,24,10,7,12,7,7,37,12,8,15,14,10,16,18,24,8,7,14,23
"Kontiolahti","Total","Total","Net migration",5,72,8,121,3,16,43,35,40,46,18,60,30,32,39,78,20,65,75,62,45,42,-3,18,37,10,19,30,6,43,8,8,21,15,-1
"Korsholm","Total","Total","Immigration to Finland",46,47,71,35,44,39,33,59,45,60,59,58,50,85,55,61,42,77,79,53,50,64,68,45,68,65,66,77,66,85,63,75,105,119,87
"Korsholm","Total","Total","Emigration from Finland",56,39,34,47,60,64,47,64,49,59,74,66,65,52,48,63,55,68,58,40,54,42,60,60,54,89,76,45,76,37,40,52,51,47,49
"Korsholm","Total","Total","Net migration",-10,8,37,-12,-16,-25,-14,-5,-4,1,-15,-8,-15,33,7,-2,-13,9,21,13,-4,22,8,-15,14,-24,-10,32,-10,48,23,23,54,72,38
"Korsnäs","Total","Total","Immigration to Finland",16,7,2,6,8,3,5,5,6,6,9,10,4,21,16,13,24,54,35,26,13,15,21,17,28,32,28,52,17,15,24,11,19,30,24
"Korsnäs","Total","Total","Emigration from Finland",6,4,3,6,7,6,8,4,9,8,10,4,6,6,4,4,4,7,6,1,3,12,16,10,11,13,12,23,7,20,10,5,10,5,8
"Korsnäs","Total","Total","Net migration",10,3,-1,0,1,-3,-3,1,-3,-2,-1,6,-2,15,12,9,20,47,29,25,10,3,5,7,17,19,16,29,10,-5,14,6,9,25,16
"Koski Tl","Total","Total","Immigration to Finland",2,7,1,0,3,2,1,0,1,2,0,10,2,2,6,16,2,4,18,8,6,12,12,7,17,11,13,2,4,6,5,4,5,23,4
"Koski Tl","Total","Total","Emigration from Finland",0,0,0,0,3,0,0,1,0,4,3,3,1,1,2,6,1,1,6,4,2,2,3,1,1,0,7,12,7,1,2,0,1,0,5
"Koski Tl","Total","Total","Net migration",2,7,1,0,0,2,1,-1,1,-2,-3,7,1,1,4,10,1,3,12,4,4,10,9,6,16,11,6,-10,-3,5,3,4,4,23,-1
"Kotka","Total","Total","Immigration to Finland",77,143,111,106,93,130,107,110,114,138,168,258,181,255,329,308,282,305,405,506,429,440,476,497,461,303,648,287,268,272,350,260,351,707,424
"Kotka","Total","Total","Emigration from Finland",56,42,32,53,63,58,90,81,122,110,113,72,75,62,61,86,72,70,76,43,72,101,104,90,88,135,138,129,112,138,140,113,102,125,129
"Kotka","Total","Total","Net migration",21,101,79,53,30,72,17,29,-8,28,55,186,106,193,268,222,210,235,329,463,357,339,372,407,373,168,510,158,156,134,210,147,249,582,295
"Kouvola","Total","Total","Immigration to Finland",124,220,157,136,126,128,133,122,164,154,224,199,190,147,191,197,209,308,383,300,301,289,322,326,301,279,360,278,223,222,253,205,298,625,681
"Kouvola","Total","Total","Emigration from Finland",63,64,34,54,86,111,87,113,116,108,155,111,91,112,142,97,90,105,98,103,101,100,131,95,91,140,110,121,137,122,119,93,98,93,90
"Kouvola","Total","Total","Net migration",61,156,123,82,40,17,46,9,48,46,69,88,99,35,49,100,119,203,285,197,200,189,191,231,210,139,250,157,86,100,134,112,200,532,591
"Kristinestad","Total","Total","Immigration to Finland",37,47,24,20,20,34,24,29,13,20,23,66,32,29,31,53,34,39,33,50,116,102,129,135,93,141,190,235,138,104,92,79,69,183,139
"Kristinestad","Total","Total","Emigration from Finland",42,31,31,24,25,27,29,27,34,25,30,39,30,36,12,22,17,20,28,11,19,17,25,20,20,15,31,27,21,13,14,20,9,18,9
"Kristinestad","Total","Total","Net migration",-5,16,-7,-4,-5,7,-5,2,-21,-5,-7,27,2,-7,19,31,17,19,5,39,97,85,104,115,73,126,159,208,117,91,78,59,60,165,130
"Kronoby","Total","Total","Immigration to Finland",18,27,17,15,9,13,26,38,26,22,18,27,24,33,27,33,21,17,20,25,30,41,29,35,41,45,22,36,31,27,43,39,38,60,37
"Kronoby","Total","Total","Emigration from Finland",17,15,13,12,16,27,26,26,33,25,11,33,11,21,19,23,20,8,25,14,17,30,24,17,13,22,19,19,17,23,12,7,5,15,16
"Kronoby","Total","Total","Net migration",1,12,4,3,-7,-14,0,12,-7,-3,7,-6,13,12,8,10,1,9,-5,11,13,11,5,18,28,23,3,17,14,4,31,32,33,45,21
"Kuhmo","Total","Total","Immigration to Finland",19,22,12,19,8,13,15,19,26,15,18,22,16,23,18,17,21,15,20,17,10,14,15,13,18,14,17,12,14,19,16,19,17,19,44
"Kuhmo","Total","Total","Emigration from Finland",5,3,4,6,5,5,0,6,8,8,12,6,2,6,5,8,2,5,4,4,1,9,3,5,9,4,4,3,8,6,7,1,1,6,6
"Kuhmo","Total","Total","Net migration",14,19,8,13,3,8,15,13,18,7,6,16,14,17,13,9,19,10,16,13,9,5,12,8,9,10,13,9,6,13,9,18,16,13,38
"Kuhmoinen","Total","Total","Immigration to Finland",4,6,12,0,0,7,9,2,4,0,1,5,6,6,2,4,10,3,4,14,6,10,0,5,1,0,4,2,5,4,0,0,3,36,3
"Kuhmoinen","Total","Total","Emigration from Finland",0,4,0,6,6,4,3,6,0,1,0,1,1,0,1,4,6,3,4,8,3,6,1,0,6,3,3,1,0,2,2,2,2,8,4
"Kuhmoinen","Total","Total","Net migration",4,2,12,-6,-6,3,6,-4,4,-1,1,4,5,6,1,0,4,0,0,6,3,4,-1,5,-5,-3,1,1,5,2,-2,-2,1,28,-1
"Kumlinge","Total","Total","Immigration to Finland",5,5,3,2,2,1,1,1,1,1,6,2,2,7,7,2,2,4,3,4,5,4,7,7,7,0,6,13,1,3,6,10,3,2,0
"Kumlinge","Total","Total","Emigration from Finland",2,5,1,6,4,1,1,1,2,4,1,2,4,3,2,7,4,3,3,3,3,4,3,7,4,3,4,2,1,3,2,1,5,1,2
"Kumlinge","Total","Total","Net migration",3,0,2,-4,-2,0,0,0,-1,-3,5,0,-2,4,5,-5,-2,1,0,1,2,0,4,0,3,-3,2,11,0,0,4,9,-2,1,-2
"Kuopio","Total","Total","Immigration to Finland",129,235,227,264,191,196,224,185,219,217,264,250,208,228,285,246,288,284,323,313,325,422,459,417,404,374,493,364,373,448,439,551,774,1155,1547
"Kuopio","Total","Total","Emigration from Finland",90,73,93,91,123,127,119,125,148,185,247,162,211,154,186,159,129,153,182,139,121,140,130,160,146,178,190,185,203,262,152,169,187,169,215
"Kuopio","Total","Total","Net migration",39,162,134,173,68,69,105,60,71,32,17,88,-3,74,99,87,159,131,141,174,204,282,329,257,258,196,303,179,170,186,287,382,587,986,1332
"Kuortane","Total","Total","Immigration to Finland",5,9,0,5,4,7,4,1,3,3,0,4,4,1,4,5,7,9,9,10,16,20,15,8,1,8,4,6,6,12,13,5,3,27,12
"Kuortane","Total","Total","Emigration from Finland",1,2,0,1,1,3,2,1,1,3,1,2,5,2,3,7,2,0,5,6,4,4,2,4,3,2,7,0,5,4,5,2,4,8,7
"Kuortane","Total","Total","Net migration",4,7,0,4,3,4,2,0,2,0,-1,2,-1,-1,1,-2,5,9,4,4,12,16,13,4,-2,6,-3,6,1,8,8,3,-1,19,5
"Kurikka","Total","Total","Immigration to Finland",31,29,22,35,26,29,36,19,19,15,27,15,41,36,23,48,30,77,55,56,49,70,55,45,41,31,33,39,36,28,31,35,45,180,79
"Kurikka","Total","Total","Emigration from Finland",22,17,16,8,10,16,14,11,16,20,18,17,17,23,14,19,28,13,29,18,14,23,28,19,14,28,18,13,34,15,18,21,15,11,18
"Kurikka","Total","Total","Net migration",9,12,6,27,16,13,22,8,3,-5,9,-2,24,13,9,29,2,64,26,38,35,47,27,26,27,3,15,26,2,13,13,14,30,169,61
"Kustavi","Total","Total","Immigration to Finland",5,0,2,1,0,3,1,1,0,0,1,1,0,2,0,4,2,4,0,0,3,1,2,6,3,2,3,12,2,2,2,7,6,13,10
"Kustavi","Total","Total","Emigration from Finland",1,0,2,0,0,0,1,4,0,0,0,1,1,1,1,2,3,2,0,1,1,2,0,0,0,4,2,4,1,2,1,0,1,2,0
"Kustavi","Total","Total","Net migration",4,0,0,1,0,3,0,-3,0,0,1,0,-1,1,-1,2,-1,2,0,-1,2,-1,2,6,3,-2,1,8,1,0,1,7,5,11,10
"Kuusamo","Total","Total","Immigration to Finland",39,52,35,22,32,30,31,29,29,40,35,55,38,32,24,42,32,34,44,27,16,34,32,21,24,66,87,38,31,66,86,51,101,147,163
"Kuusamo","Total","Total","Emigration from Finland",31,13,26,10,23,8,14,18,29,32,38,45,37,21,23,17,3,24,14,13,11,20,17,9,18,14,10,6,13,12,12,10,15,24,20
"Kuusamo","Total","Total","Net migration",8,39,9,12,9,22,17,11,0,8,-3,10,1,11,1,25,29,10,30,14,5,14,15,12,6,52,77,32,18,54,74,41,86,123,143
"Kyyjärvi","Total","Total","Immigration to Finland",10,2,3,5,3,1,5,4,9,4,1,2,0,3,3,1,1,3,1,4,9,3,4,0,1,2,10,8,6,4,4,1,9,12,2
"Kyyjärvi","Total","Total","Emigration from Finland",0,1,1,1,1,0,7,0,6,0,2,0,1,2,3,1,0,4,0,1,0,2,0,1,0,0,0,1,3,1,0,1,1,0,0
"Kyyjärvi","Total","Total","Net migration",10,1,2,4,2,1,-2,4,3,4,-1,2,-1,1,0,0,1,-1,1,3,9,1,4,-1,1,2,10,7,3,3,4,0,8,12,2
"Kärkölä","Total","Total","Immigration to Finland",15,66,25,22,5,12,8,7,6,7,10,15,6,4,13,19,6,8,17,12,10,7,18,3,11,8,38,5,6,14,5,9,8,35,26
"Kärkölä","Total","Total","Emigration from Finland",4,5,5,0,3,1,4,10,2,2,7,13,5,8,5,4,10,1,5,1,2,5,4,5,8,3,2,3,18,7,4,3,5,2,0
"Kärkölä","Total","Total","Net migration",11,61,20,22,2,11,4,-3,4,5,3,2,1,-4,8,15,-4,7,12,11,8,2,14,-2,3,5,36,2,-12,7,1,6,3,33,26
"Kärsämäki","Total","Total","Immigration to Finland",10,19,6,2,2,6,3,18,8,1,6,3,3,8,5,0,4,5,11,2,3,6,5,2,4,6,2,1,3,4,5,1,0,13,0
"Kärsämäki","Total","Total","Emigration from Finland",2,5,4,1,3,7,6,10,14,4,3,6,0,3,0,0,4,2,2,8,5,0,1,0,1,0,4,3,0,1,0,1,1,3,2
"Kärsämäki","Total","Total","Net migration",8,14,2,1,-1,-1,-3,8,-6,-3,3,-3,3,5,5,0,0,3,9,-6,-2,6,4,2,3,6,-2,-2,3,3,5,0,-1,10,-2
"Kökar","Total","Total","Immigration to Finland",1,6,3,1,4,4,0,2,2,4,6,4,4,3,2,5,5,7,2,12,2,13,1,4,16,7,6,4,2,0,4,2,2,2,2
"Kökar","Total","Total","Emigration from Finland",2,0,0,1,1,1,1,2,1,0,6,6,0,1,0,3,6,5,5,0,7,8,1,1,5,4,6,4,1,0,1,0,1,1,0
"Kökar","Total","Total","Net migration",-1,6,3,0,3,3,-1,0,1,4,0,-2,4,2,2,2,-1,2,-3,12,-5,5,0,3,11,3,0,0,1,0,3,2,1,1,2
"Lahti","Total","Total","Immigration to Finland",320,464,277,326,227,322,400,434,414,372,421,393,394,348,474,394,414,479,509,512,421,491,557,538,515,455,634,587,540,576,506,597,902,1459,1638
"Lahti","Total","Total","Emigration from Finland",142,105,131,127,191,200,176,152,204,227,230,239,305,244,247,251,196,207,194,166,191,172,215,179,220,253,317,270,265,260,230,202,205,244,257
"Lahti","Total","Total","Net migration",178,359,146,199,36,122,224,282,210,145,191,154,89,104,227,143,218,272,315,346,230,319,342,359,295,202,317,317,275,316,276,395,697,1215,1381
"Laihia","Total","Total","Immigration to Finland",11,5,9,4,4,3,9,4,7,15,5,4,3,7,13,10,13,13,14,18,12,11,10,11,1,5,6,7,16,5,9,15,13,15,11
"Laihia","Total","Total","Emigration from Finland",3,1,1,3,2,8,3,5,7,9,9,6,10,3,6,5,10,10,3,15,3,7,9,4,0,0,8,7,3,7,3,8,3,7,8
"Laihia","Total","Total","Net migration",8,4,8,1,2,-5,6,-1,0,6,-4,-2,-7,4,7,5,3,3,11,3,9,4,1,7,1,5,-2,0,13,-2,6,7,10,8,3
"Laitila","Total","Total","Immigration to Finland",28,16,7,20,12,15,2,14,14,12,8,16,6,8,19,17,22,21,18,15,32,33,37,52,56,54,117,85,80,63,80,67,94,274,130
"Laitila","Total","Total","Emigration from Finland",7,4,10,9,4,6,3,10,7,12,3,8,6,4,9,5,7,7,10,7,11,7,8,10,12,12,12,12,22,17,11,13,17,22,16
"Laitila","Total","Total","Net migration",21,12,-3,11,8,9,-1,4,7,0,5,8,0,4,10,12,15,14,8,8,21,26,29,42,44,42,105,73,58,46,69,54,77,252,114
"Lapinjärvi","Total","Total","Immigration to Finland",5,140,17,74,30,7,11,3,5,4,12,3,12,15,10,7,16,13,12,6,11,8,19,14,19,13,32,5,12,10,14,16,14,17,19
"Lapinjärvi","Total","Total","Emigration from Finland",1,1,5,2,2,6,8,4,2,5,4,5,6,1,5,4,0,3,5,1,13,6,6,8,9,6,10,8,11,10,5,8,2,1,4
"Lapinjärvi","Total","Total","Net migration",4,139,12,72,28,1,3,-1,3,-1,8,-2,6,14,5,3,16,10,7,5,-2,2,13,6,10,7,22,-3,1,0,9,8,12,16,15
"Lapinlahti","Total","Total","Immigration to Finland",16,14,19,4,14,10,6,9,7,13,9,11,8,16,11,21,9,20,14,16,15,21,33,38,32,10,10,14,11,11,22,14,28,46,27
"Lapinlahti","Total","Total","Emigration from Finland",5,11,2,2,6,7,5,7,5,10,6,12,11,5,14,2,5,4,4,3,4,7,3,2,3,4,3,8,15,11,5,6,8,1,5
"Lapinlahti","Total","Total","Net migration",11,3,17,2,8,3,1,2,2,3,3,-1,-3,11,-3,19,4,16,10,13,11,14,30,36,29,6,7,6,-4,0,17,8,20,45,22
"Lappajärvi","Total","Total","Immigration to Finland",2,0,2,3,1,2,1,1,3,0,6,5,9,3,6,0,2,14,17,35,16,32,34,29,22,11,22,55,43,35,25,28,34,47,46
"Lappajärvi","Total","Total","Emigration from Finland",0,1,0,3,0,1,2,4,6,1,7,4,4,6,5,2,3,1,3,0,6,4,9,7,2,3,2,6,3,5,5,5,2,0,6
"Lappajärvi","Total","Total","Net migration",2,-1,2,0,1,1,-1,-3,-3,-1,-1,1,5,-3,1,-2,-1,13,14,35,10,28,25,22,20,8,20,49,40,30,20,23,32,47,40
"Lappeenranta","Total","Total","Immigration to Finland",187,318,224,253,151,221,226,249,226,243,291,332,192,214,234,257,215,361,482,437,387,456,475,449,428,421,528,486,448,485,380,673,1008,1293,1548
"Lappeenranta","Total","Total","Emigration from Finland",50,72,63,93,91,75,88,72,120,93,127,130,123,132,96,125,95,109,153,105,115,141,159,171,182,124,175,154,171,197,137,105,99,154,143
"Lappeenranta","Total","Total","Net migration",137,246,161,160,60,146,138,177,106,150,164,202,69,82,138,132,120,252,329,332,272,315,316,278,246,297,353,332,277,288,243,568,909,1139,1405
"Lapua","Total","Total","Immigration to Finland",28,29,9,16,3,5,12,9,5,18,1,22,30,13,16,9,34,37,54,66,52,57,61,41,35,29,28,20,58,16,26,16,35,170,111
"Lapua","Total","Total","Emigration from Finland",9,2,2,12,17,11,3,3,4,10,25,4,10,4,13,9,16,8,11,8,27,19,24,9,11,17,16,33,28,15,13,12,13,31,20
"Lapua","Total","Total","Net migration",19,27,7,4,-14,-6,9,6,1,8,-24,18,20,9,3,0,18,29,43,58,25,38,37,32,24,12,12,-13,30,1,13,4,22,139,91
"Larsmo","Total","Total","Immigration to Finland",8,9,7,25,3,8,16,10,3,10,19,16,24,32,24,26,31,20,22,18,34,43,32,31,32,31,37,48,28,35,38,31,47,65,28
"Larsmo","Total","Total","Emigration from Finland",14,11,10,3,8,13,17,17,24,28,25,16,27,18,9,17,16,9,9,16,23,15,25,24,42,17,42,28,30,41,40,33,17,26,18
"Larsmo","Total","Total","Net migration",-6,-2,-3,22,-5,-5,-1,-7,-21,-18,-6,0,-3,14,15,9,15,11,13,2,11,28,7,7,-10,14,-5,20,-2,-6,-2,-2,30,39,10
"Laukaa","Total","Total","Immigration to Finland",25,64,9,25,30,17,45,20,17,26,24,23,24,20,23,17,31,23,24,29,37,39,38,12,16,24,25,18,14,24,22,15,34,111,112
"Laukaa","Total","Total","Emigration from Finland",8,9,11,6,15,13,8,12,15,6,25,14,23,16,17,13,16,20,18,25,7,21,12,20,15,19,12,18,19,5,22,6,13,18,5
"Laukaa","Total","Total","Net migration",17,55,-2,19,15,4,37,8,2,20,-1,9,1,4,6,4,15,3,6,4,30,18,26,-8,1,5,13,0,-5,19,0,9,21,93,107
"Lemi","Total","Total","Immigration to Finland",1,3,5,1,0,2,2,1,7,3,9,7,1,8,0,8,8,3,7,4,1,5,5,2,2,5,6,2,4,4,7,6,5,3,5
"Lemi","Total","Total","Emigration from Finland",0,2,1,2,8,0,0,0,1,3,0,0,3,2,0,2,5,3,4,3,0,2,2,5,6,1,1,4,2,8,0,6,5,2,2
"Lemi","Total","Total","Net migration",1,1,4,-1,-8,2,2,1,6,0,9,7,-2,6,0,6,3,0,3,1,1,3,3,-3,-4,4,5,-2,2,-4,7,0,0,1,3
"Lemland","Total","Total","Immigration to Finland",13,4,11,12,7,14,9,9,11,14,24,16,19,33,25,27,19,31,28,50,31,39,26,30,25,20,37,20,36,47,35,32,28,27,45
"Lemland","Total","Total","Emigration from Finland",9,9,9,13,9,4,17,12,11,13,15,18,14,31,22,24,24,32,27,37,12,20,26,38,22,22,28,21,28,20,26,39,28,26,23
"Lemland","Total","Total","Net migration",4,-5,2,-1,-2,10,-8,-3,0,1,9,-2,5,2,3,3,-5,-1,1,13,19,19,0,-8,3,-2,9,-1,8,27,9,-7,0,1,22
"Lempäälä","Total","Total","Immigration to Finland",13,24,23,27,13,41,13,14,21,16,40,28,48,43,49,51,42,59,52,69,50,65,43,59,42,48,52,31,29,63,67,45,53,61,40
"Lempäälä","Total","Total","Emigration from Finland",12,19,4,10,22,11,12,17,39,23,34,33,34,23,52,40,27,29,57,42,27,30,37,49,27,24,40,37,40,47,40,34,43,41,31
"Lempäälä","Total","Total","Net migration",1,5,19,17,-9,30,1,-3,-18,-7,6,-5,14,20,-3,11,15,30,-5,27,23,35,6,10,15,24,12,-6,-11,16,27,11,10,20,9
"Leppävirta","Total","Total","Immigration to Finland",11,13,7,8,12,8,2,12,16,18,19,13,23,17,16,16,18,36,20,19,22,23,24,8,13,20,13,19,16,34,11,12,33,33,25
"Leppävirta","Total","Total","Emigration from Finland",4,9,15,3,5,5,8,4,8,11,18,13,13,12,14,11,8,7,4,7,5,14,7,8,4,7,6,8,14,5,4,5,5,7,7
"Leppävirta","Total","Total","Net migration",7,4,-8,5,7,3,-6,8,8,7,1,0,10,5,2,5,10,29,16,12,17,9,17,0,9,13,7,11,2,29,7,7,28,26,18
"Lestijärvi","Total","Total","Immigration to Finland",4,4,7,4,5,3,0,0,0,1,0,2,2,1,6,2,6,2,0,0,1,1,2,4,5,1,1,0,0,0,0,0,0,0,4
"Lestijärvi","Total","Total","Emigration from Finland",0,3,1,3,1,0,0,1,3,0,0,3,2,0,0,0,1,0,0,1,1,0,3,4,0,2,2,0,0,1,0,0,0,0,1
"Lestijärvi","Total","Total","Net migration",4,1,6,1,4,3,0,-1,-3,1,0,-1,0,1,6,2,5,2,0,-1,0,1,-1,0,5,-1,-1,0,0,-1,0,0,0,0,3
"Lieksa","Total","Total","Immigration to Finland",8,31,35,15,12,28,10,11,10,13,20,14,13,16,12,18,17,25,28,80,124,138,62,90,79,40,95,57,88,148,102,120,141,117,172
"Lieksa","Total","Total","Emigration from Finland",12,7,6,13,12,14,12,4,5,3,6,11,4,8,10,14,4,10,11,9,12,9,3,11,13,17,12,14,12,8,18,22,9,7,15
"Lieksa","Total","Total","Net migration",-4,24,29,2,0,14,-2,7,5,10,14,3,9,8,2,4,13,15,17,71,112,129,59,79,66,23,83,43,76,140,84,98,132,110,157
"Lieto","Total","Total","Immigration to Finland",15,26,31,17,26,12,12,12,24,23,21,20,21,15,38,29,42,41,38,29,22,38,25,42,28,40,34,20,34,33,35,55,39,71,53
"Lieto","Total","Total","Emigration from Finland",7,13,11,14,16,7,13,7,16,13,13,8,19,22,13,17,31,24,26,17,22,15,12,17,24,23,30,22,22,34,12,27,17,22,22
"Lieto","Total","Total","Net migration",8,13,20,3,10,5,-1,5,8,10,8,12,2,-7,25,12,11,17,12,12,0,23,13,25,4,17,4,-2,12,-1,23,28,22,49,31
"Liminka","Total","Total","Immigration to Finland",4,28,35,9,2,6,5,5,11,16,11,10,1,3,15,13,16,13,7,9,7,4,5,2,2,5,14,13,11,9,12,4,8,28,5
"Liminka","Total","Total","Emigration from Finland",6,1,1,7,10,5,9,7,3,10,8,10,3,10,4,3,14,14,3,10,6,15,7,12,11,5,10,4,9,8,10,4,3,4,6
