"11a7 -- Immigration and emigration by age (5-year), sex and area, 1990-2024"

"Area","Sex","Age","Information","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Finström","Total","Total","Immigration to Finland",14,15,13,7,16,8,17,16,24,18,23,24,23,33,26,47,30,28,45,29,36,43,37,34,42,46,63,45,43,29,56,44,27,36,39
"Finström","Total","Total","Emigration from Finland",12,22,16,15,17,19,13,18,21,25,27,30,22,20,26,24,24,31,32,43,27,26,28,29,24,31,21,43,28,25,30,14,25,30,29
"Finström","Total","Total","Net migration",2,-7,-3,-8,-1,-11,4,-2,3,-7,-4,-6,1,13,0,23,6,-3,13,-14,9,17,9,5,18,15,42,2,15,4,26,30,2,6,10
"Forssa","Total","Total","Immigration to Finland",41,56,69,46,19,23,24,26,45,43,27,37,28,17,47,23,42,70,57,58,65,71,82,77,56,57,134,79,43,62,56,72,101,356,355
"Forssa","Total","Total","Emigration from Finland",14,18,12,21,14,16,25,17,23,14,18,14,15,19,11,15,12,16,16,21,13,10,24,21,17,30,22,33,29,25,28,28,13,38,17
"Forssa","Total","Total","Net migration",27,38,57,25,5,7,-1,9,22,29,9,23,13,-2,36,8,30,54,41,37,52,61,58,56,39,27,112,46,14,37,28,44,88,318,338
"Föglö","Total","Total","Immigration to Finland",7,7,2,0,0,0,4,2,5,10,7,9,14,16,8,17,11,14,18,12,16,18,20,10,18,9,20,4,15,7,6,6,5,14,10
"Föglö","Total","Total","Emigration from Finland",4,4,2,1,7,3,1,4,3,6,17,5,10,6,7,9,11,12,6,4,4,11,3,4,8,13,3,13,4,5,2,9,5,2,10
"Föglö","Total","Total","Net migration",3,3,0,-1,-7,-3,3,-2,2,4,-10,4,4,10,1,8,0,2,12,8,12,7,17,6,10,-4,17,-9,11,2,4,-3,0,12,0
"Geta","Total","Total","Immigration to Finland",5,7,2,1,4,1,6,6,7,8,10,5,7,6,8,6,7,10,9,10,7,27,12,15,12,9,11,10,9,17,9,5,8,11,9
"Geta","Total","Total","Emigration from Finland",3,7,4,3,0,1,2,3,3,0,3,4,5,10,8,5,8,6,2,7,2,7,4,6,8,2,8,6,5,12,2,10,11,5,2
"Geta","Total","Total","Net migration",2,0,-2,-2,4,0,4,3,4,8,7,1,2,-4,0,1,-1,4,7,3,5,20,8,9,4,7,3,4,4,5,7,-5,-3,6,7
"Haapajärvi","Total","Total","Immigration to Finland",11,18,10,11,16,8,4,12,12,17,46,13,9,18,6,19,9,23,29,15,13,8,18,21,11,14,13,15,21,7,11,23,23,26,7
"Haapajärvi","Total","Total","Emigration from Finland",9,3,2,4,8,4,3,2,21,12,22,8,9,9,9,10,5,9,6,17,5,6,14,3,5,6,2,14,5,10,9,4,19,9,6
"Haapajärvi","Total","Total","Net migration",2,15,8,7,8,4,1,10,-9,5,24,5,0,9,-3,9,4,14,23,-2,8,2,4,18,6,8,11,1,16,-3,2,19,4,17,1
"Haapavesi","Total","Total","Immigration to Finland",8,23,15,8,12,15,3,14,18,8,14,16,9,7,18,9,8,3,6,17,14,42,26,14,24,23,19,14,8,16,30,49,45,54,28
"Haapavesi","Total","Total","Emigration from Finland",16,4,7,3,8,6,9,17,21,16,18,8,13,13,5,7,6,10,6,2,13,10,13,5,2,1,10,4,6,5,13,4,4,5,8
